ObjectID,USER_District_Number,USER_District_Name,USER_District_Superintendent,USER_School_Number,Column2,USER_School_Name,USER_Instruction_Type,USER_NCES_School_ID,USER_School_City,USER_School_Principal,USER_Grade_Range,Enrollment,School_Type,Reading Not On Grade-Level,Math Not On Grade-Level,Attendance Rate,Chronic Absenteeism Rate,Teacher Count,Admin Count,Average Teacher Salary,Average Admin Salary,Campus Grade,Campus Score
3,'001902,CAYUGA ISD,DR JOE E SATTERWHITE III   ,'001902001,1902001,CAYUGA High School,REGULAR INSTRUCTIONAL,'481320000821,CAYUGA,JAY THOMPSON   ,'09-12,190,High School,22%,35%,95.7%,9.9%,17.7,0.6,60310,75606,A,96
2,'001902,CAYUGA ISD,DR JOE E SATTERWHITE III   ,'001902041,1902041,CAYUGA Middle,REGULAR INSTRUCTIONAL,'481320005623,CAYUGA,MR ZACH WILLIAMS   ,'06-08,124,Middle School,25%,44%,95.8%,5.7%,12,1.3,56955,73750,B,86
1,'001902,CAYUGA ISD,DR JOE E SATTERWHITE III   ,'001902103,1902103,CAYUGA Elementary,REGULAR INSTRUCTIONAL,'481320000820,CAYUGA,MRS TRACIE CAMPBELL   ,'EE-05,263,Elementary School,49%,64%,95.4%,11.1%,19.1,1.3,57829,77500,D,69
24,'001903,ELKHART ISD,MR KYLE JOHNSON   ,'001903001,1903001,ELKHART High School,REGULAR INSTRUCTIONAL,'481839001732,ELKHART,MR JASON W IVES   ,acc,305,High School,27%,73%,96.2%,12.0%,33.7,2,55688,77821,B,84
6,'001903,ELKHART ISD,MR KYLE JOHNSON   ,'001903041,1903041,ELKHART Middle,REGULAR INSTRUCTIONAL,'481839007161,ELKHART,MR ROGER MAYS   ,'06-08,283,Middle School,40%,65%,96.6%,8.0%,20.1,1,53103,81671,C,77
5,'001903,ELKHART ISD,MR KYLE JOHNSON   ,'001903101,1903101,ELKHART Elementary,REGULAR INSTRUCTIONAL,'481839001731,ELKHART,MRS KRISTIN STEELY   ,'EE-02,353,Elementary School,.,.,95.6%,7.3%,20.5,1,58494,69707,B,80
7,'001903,ELKHART ISD,MR KYLE JOHNSON   ,'001903102,1903102,ELKHART Intermediate,REGULAR INSTRUCTIONAL,'481839012739,ELKHART,MR GREGORY D HERRING   ,'03-05,246,Elementary School,51%,49%,95.8%,7.4%,18.6,1,56152,89803,B,80
8,'001904,FRANKSTON ISD,NICCI COOK   ,'001904001,1904001,FRANKSTON High School,REGULAR INSTRUCTIONAL,'481977001939,FRANKSTON,EDGAR RODRIGUEZ   ,'09-12,259,High School,31%,72%,94.6%,17.2%,25,0.2,56788,91780,A,90
9,'001904,FRANKSTON ISD,NICCI COOK   ,'001904041,1904041,FRANKSTON Middle,REGULAR INSTRUCTIONAL,'481977000019,FRANKSTON,CINDY OWENS   ,'06-08,171,Middle School,33%,39%,96.0%,9.2%,16.4,2,55310,74892,B,87
10,'001904,FRANKSTON ISD,NICCI COOK   ,'001904102,1904102,FRANKSTON Elementary,REGULAR INSTRUCTIONAL,'481977006702,FRANKSTON,MELANIE BLACKWELL   ,'EE-05,381,Elementary School,43%,45%,95.6%,9.7%,25.3,2,58696,74137,B,80
